County	Soil Code	Soil Description	Soil Description
Allamakee County	320	Arenzville silt loam, 0 to 3 percent slopes, occasionally flooded	75
Allamakee County	478G	Nordness-Rock outcrop complex, 25 to 60 percent slopes	5
Allamakee County	484	Lawson silt loam, 0 to 2 percent slopes	79
Allamakee County	485	Spillville loam, 0 to 2 percent slopes	87
Allamakee County	487B	Otter-Worthen complex, 1 to 4 percent slopes	85
Allamakee County	490	Caneek silt loam, 0 to 2 percent slopes	5
Allamakee County	499C	Nordness silt loam, 5 to 9 percent slopes	7
Allamakee County	499D	Nordness silt loam, 9 to 14 percent slopes	5
Allamakee County	499D2	Nordness silt loam, 9 to 14 percent slopes, moderately eroded	5
Allamakee County	499E	Nordness silt loam, 14 to 18 percent slopes	5
Allamakee County	499E2	Nordness silt loam, 14 to 18 percent slopes, moderately eroded	5
Allamakee County	499F	Nordness silt loam, 18 to 25 percent slopes	5
Allamakee County	499G	Nordness silt loam, 25 to 40 percent slopes	5
Allamakee County	589	Otter silt loam, 0 to 2 percent slopes	78
Allamakee County	703C	Dubuque silt loam, 5 to 9 percent slopes	40
Allamakee County	703C2	Dubuque silt loam, 5 to 9 percent slopes, moderately eroded	38
Allamakee County	703D	Dubuque silt loam, 9 to 14 percent slopes	14
Allamakee County	703D2	Dubuque silt loam, 9 to 14 percent slopes, moderately eroded	13
Allamakee County	703E	Dubuque silt loam, 14 to 18 percent slopes	8
Allamakee County	703E2	Dubuque silt loam, 14 to 18 percent slopes, moderately eroded	8
Allamakee County	703F	Dubuque silt loam, 18 to 25 percent slopes	6
Allamakee County	721C	Massbach silt loam, 3 to 9 percent slopes	64
Allamakee County	721D	Massbach silt loam, 9 to 15 percent slopes,	39
Allamakee County	740C	Hawick gravelly sand, 2 to 9 percent slopes	22
Allamakee County	740G	Hawick gravelly sand, 18 to 40 percent slopes	5
Allamakee County	778B	Sattre loam, 1 to 5 percent slopes	49
Allamakee County	793E	Plumcreek silt loam, 20 to 45 percent slopes	11
Allamakee County	826	Rowley silt loam, 0 to 3 percent slopes	79
Allamakee County	837C	Village silt loam, 5 to 9 percent slopes	69
Allamakee County	837C2	Village silt loam, 5 to 9 percent slopes, moderately eroded	66
Allamakee County	837D	Village silt loam, 9 to 14 percent slopes	43
Allamakee County	837D2	Village silt loam, 9 to 14 percent slopes, moderately eroded	40
Allamakee County	837E	Village silt loam, 14 to 18 percent slopes	30
Allamakee County	837E2	Village silt loam, 14 to 18 percent slopes, moderately eroded	27
Allamakee County	837F	Village silt loam, 18 to 25 percent slopes	12
Allamakee County	838C2	Allamakee silt loam, 5 to 9 percent slopes, moderately eroded	72
Allamakee County	838D	Allamakee silt loam, 9 to 14 percent slopes	49
Allamakee County	838D2	Allamakee silt loam, 9 to 14 percent slopes, moderately eroded	46
Allamakee County	838E2	Allamakee silt loam, 14 to 18 percent slopes, moderately eroded	32
Allamakee County	840E	Lacrescent silt loam, 14 to 18 percent slopes	9
Allamakee County	840F	Lacrescent silt loam, 18 to 25 percent slopes	5
Allamakee County	840G	Lacrescent silt loam, 25 to 70 percent slopes	5
Allamakee County	841G	Rock outcrop-Boone complex, 20 to 70 percent slopes	5
Allamakee County	843	Elon silt loam, 0 to 2 percent slopes	72
Allamakee County	861D	Yellowriver silt loam, 9 to 14 percent slopes	51
Allamakee County	861D2	Yellowriver silt loam, 9 to 14 percent slopes, moderately eroded	47
Allamakee County	861E	Yellowriver silt loam, 14 to 18 percent slopes	39
Allamakee County	861E2	Yellowriver silt loam, 14 to 18 percent slopes, moderately eroded	35
Allamakee County	861F	Yellowriver silt loam, 18 to 25 percent slopes	21
Allamakee County	861G	Yellowriver silt loam, 25 to 40 percent slopes	5
Allamakee County	862D	Churchtown loam, 9 to 14 percent slopes	56
Allamakee County	862D2	Churchtown loam, 9 to 14 percent slopes, moderately eroded	54
Allamakee County	862E	Churchtown loam, 14 to 18 percent slopes	44
Allamakee County	862E2	Churchtown loam, 14 to 18 percent slopes, moderately eroded	42
Allamakee County	862F	Churchtown loam, 18 to 25 percent slopes	28
Allamakee County	903C2	Frankville silt loam, 5 to 9 percent slopes, moderately eroded	40
Allamakee County	903D	Frankville silt loam, 9 to 14 percent slopes	22
Allamakee County	903D2	Frankville silt loam, 9 to 14 percent slopes, moderately eroded	16
Allamakee County	903E2	Frankville silt loam, 14 to 18 percent slopes, moderately eroded	6
Allamakee County	912C	Paintcreek silt loam, 5 to 9 percent slopes	49
Allamakee County	912D	Paintcreek silt loam, 9 to 14 percent slopes	23
Allamakee County	912D2	Paintcreek silt loam, 9 to 14 percent slopes, moderately eroded	20
Allamakee County	912E	Paintcreek silt loam, 14 to 18 percent slopes	10
Allamakee County	912E2	Paintcreek silt loam, 14 to 18 percent slopes, moderately eroded	8
Allamakee County	912F	Paintcreek silt loam, 18 to 30 percent slopes	5
Allamakee County	930	Orion silt loam, 0 to 3 percent slopes, occasionally flooded	81
Allamakee County	951G	Medary silt loam, 15 to 45 percent slopes	5
Allamakee County	977B	Richwood silt loam, 1 to 6 percent slopes	90
Allamakee County	978B2	Festina silt loam, 1 to 6 percent slopes, moderately eroded	84
Allamakee County	978C2	Festina silt loam, 6 to 12 percent slopes, moderately eroded	63
Allamakee County	981B	Worthen silt loam, 2 to 7 percent slopes	89
Allamakee County	1120D	Lycurgus silt loam, 9 to 14 percent slopes	61
Allamakee County	1120E	Lycurgus silt loam, 14 to 18 percent slopes	49
Allamakee County	1120F	Lycurgus silt loam, 18 to 25 percent slopes	32
Allamakee County	1490	Caneek silt loam, channeled, 0 to 2 percent slopes	5
Allamakee County	1496	Arenzville-Volney complex, 0 to 2 percent slopes	64
Allamakee County	1496B	Arenzville-Volney complex, 2 to 5 percent slopes	58
Allamakee County	1793G	Bertrand-Chelsea complex, 18 to 35 percent slopes	7
Allamakee County	2670	Ion silt loam, 0 to 2 percent slopes	67
Allamakee County	5010	Pits, sand and gravel	
Allamakee County	5030	Pits, limestone quarries	
Allamakee County	5040	Orthents, loamy	5
Allamakee County	SL	Sewage lagoon	
Allamakee County	W	Water	
Appanoose County	7A	Wiota silt loam, 1 to 3 percent slopes	95
Appanoose County	13B	Olmitz-Vesser-Colo complex, 2 to 5 percent slopes	79
Appanoose County	24D2	Shelby loam, 9 to 14 percent slopes, moderately eroded	45
Appanoose County	24D3	Shelby soils, 9 to 14 percent slopes, severely eroded	45
Appanoose County	24E2	Shelby loam, 14 to 18 percent slopes, moderately eroded	33
Appanoose County	24E3	Shelby soils, 14 to 18 percent slopes, severely eroded	33
Appanoose County	51A	Vesser silt loam, 0 to 2 percent slopes, occasionally flooded	75
Appanoose County	51B	Vesser silt loam, 2 to 5 percent slopes, rarely flooded	75
Appanoose County	54A	Zook silty clay loam, heavy till, 0 to 2 percent slopes, occasionally flooded	68
Appanoose County	54B	Zook silty clay loam, heavy till, 2 to 5 percent slopes, rarely flooded	71
Appanoose County	56B	Cantril loam, 2 to 5 percent slopes	79
Appanoose County	65E2	Lindley loam, 14 to 18 percent slopes, moderately eroded	29
Appanoose County	65E3	Lindley clay loam, 14 to 18 percent slopes, severely eroded	22
Appanoose County	65F	Lindley loam, 18 to 25 percent slopes	17
Appanoose County	65F2	Lindley loam, 18 to 25 percent slopes, moderately eroded	10
Appanoose County	65F3	Lindley soils, 18 to 24 percent slopes, severely eroded	7
Appanoose County	65G2	Lindley loam, 24 to 40 percent slopes, moderately eroded	5
Appanoose County	93D2	Adair-Shelby complex, 9 to 14 percent slopes, moderately eroded	17
Appanoose County	93D3	Adair-Shelby complex, 9 to 14 percent slopes, severely eroded	19
Appanoose County	94D2	Mystic-Caleb complex, 9 to 14 percent slopes, moderately eroded	20
Appanoose County	94D3	Mystic-Caleb complex, 9 to 14 percent slopes, severely eroded	18
Appanoose County	94E2	Mystic-Caleb complex, 14 to 18 percent slopes, moderately eroded	16
Appanoose County	94E3	Mystic-Caleb complex, 14 to 18 percent slopes, severely eroded	13
Appanoose County	130	Belinda silt loam, 0 to 2 percent slopes	47
Appanoose County	131B	Pershing silt loam, 2 to 5 percent slopes	70
Appanoose County	131C	Pershing silt loam, 5 to 9 percent slopes	65
Appanoose County	131C2	Pershing silt loam, 5 to 9 percent slopes, moderately eroded	62
Appanoose County	132B	Weller silt loam, 2 to 5 percent slopes	67
Appanoose County	132B2	Weller silt loam, 2 to 5 percent slopes, moderately eroded	67
Appanoose County	132C2	Weller silt loam, 5 to 9 percent slopes, moderately eroded	59
Appanoose County	132D2	Weller silt loam, 9 to 14 percent slopes, moderately eroded	33
Appanoose County	133+	Colo silt loam, heavy till, 0 to 2 percent slopes, occasionally flooded, overwash	78
Appanoose County	133A	Colo silty clay loam, heavy till, 0 to 2 percent slopes, occasionally flooded	78
Appanoose County	133B	Colo silty clay loam, heavy till, 2 to 5 percent slopes, rarely flooded	80
Appanoose County	172	Wabash silty clay, 0 to 2 percent slopes, occasionally flooded	57
Appanoose County	179D2	Gara loam, 9 to 14 percent slopes, moderately eroded	38
Appanoose County	179D3	Gara soils, 9 to 14 percent slopes, severely eroded	40
Appanoose County	179E	Gara loam, 14 to 18 percent slopes	30
Appanoose County	179E2	Gara loam, 14 to 18 percent slopes, moderately eroded	24
Appanoose County	179E3	Gara soils, 14 to 18 percent slopes, severely eroded	28
Appanoose County	179F2	Gara loam, 18 to 24 percent slopes, moderately eroded	12
Appanoose County	192C	Adair clay loam, heavy till, 5 to 9 percent slopes	39
Appanoose County	192C2	Adair clay loam, heavy till, 5 to 9 percent slopes, moderately eroded	29
Appanoose County	192D2	Adair clay loam, heavy till, 9 to 14 percent slopes, moderately eroded	9
Appanoose County	208	Landes fine sandy loam, heavy subsoil variant	77
Appanoose County	211	Edina silt loam, 0 to 1 percent slopes	59
Appanoose County	220	Nodaway silt loam	82
Appanoose County	222C	Clarinda silty clay loam, 5 to 9 percent slopes	31
Appanoose County	222C2	Clarinda silty clay loam, 5 to 9 percent slopes, moderately eroded	28
Appanoose County	222C3	Clarinda soils, 5 to 9 percent slopes, severely eroded	31
Appanoose County	222D2	Clarinda silty clay loam, 9 to 14 percent slopes, moderately eroded	8
Appanoose County	260	Beckwith silt loam, 0 to 2 percent slopes	51
Appanoose County	261	Appanoose silt loam, 0 to 2 percent slopes	41
Appanoose County	269A	Humeston silt loam, 0 to 2 percent slopes, occasionally flooded	70
Appanoose County	269B	Humeston silt loam, 2 to 5 percent slopes	71
Appanoose County	273B	Olmitz loam, heavy till, 2 to 5 percent slopes	81
Appanoose County	312B	Seymour silt loam, 2 to 5 percent slopes	64
Appanoose County	312C2	Seymour silty clay loam, 5 to 9 percent slopes, moderately eroded	56
Appanoose County	313D2	Gosport-Clanton silt loams, 9 to 14 percent slopes, moderately eroded complex	14
Appanoose County	313E2	Gosport-Clanton silt loams, 14 to 18 percent slopes, moderately eroded complex	8
Appanoose County	313F2	Gosport-Clanton silt loams, 18 to 24 percent slopes, moderately eroded complex	5
Appanoose County	315	Nodaway-Alluvial land complex	5
Appanoose County	354	Marsh	
Appanoose County	362	Haig silty clay loam, 0 to 2 percent slopes	83
Appanoose County	364B	Grundy silty clay loam, 2 to 5 percent slopes	72
Appanoose County	406	Kennebec-Amana silt loams complex	88
Appanoose County	413D2	Sogn-Gosport-Clanton complex, 9 to 18 percent slopes, moderately eroded	9
Appanoose County	422	Amana silt loam	93
Appanoose County	425C	Keswick loam, 5 to 9 percent slopes	36
Appanoose County	425C2	Keswick loam, 5 to 9 percent slopes, moderately eroded	27
Appanoose County	425D	Keswick loam, 9 to 14 percent slopes	8
Appanoose County	425D2	Keswick loam, 9 to 14 percent slopes, moderately eroded	9
Appanoose County	425D3	Keswick clay loam, 9 to 14 percent slopes, severely eroded	7
Appanoose County	452B	Lineville silt loam, 2 to 5 percent slopes	53
Appanoose County	452C	Lineville silt loam, 5 to 9 percent slopes	48
Appanoose County	452C2	Lineville silt loam, 5 to 9 percent slopes, moderately eroded	46
Appanoose County	453A	Tuskeego silt loam, 0 to 2 percent slopes, rarely flooded	81
Appanoose County	453B	Tuskeego silt loam, 2 to 5 percent slopes	76
Appanoose County	467	Radford silt loam	78
Appanoose County	520	Coppock silt loam	79
Appanoose County	531B	Kniffin silt loam, 2 to 5 percent slopes	55
Appanoose County	531C	Kniffin silt loam, 5 to 9 percent slopes	52
Appanoose County	531C2	Kniffin silt loam, 5 to 9 percent slopes, moderately eroded	46
Appanoose County	532B	Rathbun silt loam, 2 to 5 percent slopes	55
Appanoose County	532B2	Rathbun silty clay loam, 2 to 5 percent slopes, moderately eroded	52
